Volcano, StartDate, EndDate, VEI
Etna, 17/07/2001, 09/08/2001, 3
Etna, . , 30/10/2002, 1
Etna, 26/10/2002, 28/01/2003, 2
Etna, 08/03/2003, 09/11/2003, 1
