SUMLEV,STATE,COUNTY,REGION,DIVISION,ctyname,STNAME,CENSUS2000POP,ESTIMATESBASE2000,POPESTIMATE2000,POPESTIMATE2001,POPESTIMATE2002,POPESTIMATE2003,POPESTIMATE2004,BIRTHS2000,BIRTHS2001,BIRTHS2002,BIRTHS2003,BIRTHS2004,DEATHS2000,DEATHS2001,DEATHS2002,DEATHS2003,DEATHS2004,INTERNATIONALMIG2000,INTERNATIONALMIG2001,INTERNATIONALMIG2002,INTERNATIONALMIG2003,INTERNATIONALMIG2004,INTERNALMIG2000,INTERNALMIG2001,INTERNALMIG2002,INTERNALMIG2003,INTERNALMIG2004,RESIDUAL2000,RESIDUAL2001,RESIDUAL2002,RESIDUAL2003,RESIDUAL2004,CENSUS2000GQPOP,GQESTIMATESBASE2000,GQPOPESTIMATES2000,GQPOPESTIMATES2001,GQPOPESTIMATES2002,GQPOPESTIMATES2003,GQPOPESTIMATES2004
50,48,469,3,7,Victoria County,Texas,84088,84088,84031,84797,85107,85410,85777,304,1358,1349,1334,1354,160,653,663,684,677,22,124,120,117,116,-226,-34,-487,-451,-428,3,-29,-9,-13,2,1507,1507,1507,1562,1557,1576,1576
50,48,471,3,7,Walker County,Texas,61758,61758,61695,61929,61325,62343,62217,153,630,590,612,659,93,434,437,413,395,28,116,114,113,113,-153,-61,-864,714,-505,2,-17,-7,-8,2,17091,17091,17091,17500,16755,17480,17480
50,48,473,3,7,Waller County,Texas,32663,32663,32842,33361,34110,34599,34757,106,510,501,512,557,62,245,234,244,233,23,119,117,118,118,112,145,367,107,-285,0,-10,-2,-4,1,3209,3209,3209,3206,3200,3204,3204
50,48,475,3,7,Ward County,Texas,10909,10909,10822,10518,10456,10318,10358,50,153,141,166,189,31,100,98,116,103,1,6,5,5,5,-104,-363,-107,-190,-53,-3,0,-3,-3,2,369,369,369,378,380,388,388
50,48,477,3,7,Washington County,Texas,30373,30373,30433,30498,30706,30978,31248,94,417,380,405,413,96,331,345,337,323,14,76,74,73,73,49,-90,103,135,107,-1,-7,-4,-4,0,1733,1733,1733,1717,1863,1843,1843
50,48,479,3,7,Webb County,Texas,193117,193117,194673,200824,206729,212706,219464,1325,5756,5829,5967,6309,170,828,842,876,917,476,1898,1849,1791,1793,-96,-619,-904,-876,-450,21,-56,-27,-29,23,3078,3078,3078,3078,3078,3078,3078
50,48,481,3,7,Wharton County,Texas,41188,41188,41224,41168,41150,41331,41594,155,611,623,691,717,78,388,444,419,379,34,144,136,133,133,-74,-415,-323,-218,-210,-1,-8,-10,-6,2,747,747,747,730,757,736,736
50,48,483,3,7,Wheeler County,Texas,5284,5284,5243,5117,5002,4821,4787,12,44,58,69,66,18,86,74,89,107,0,10,10,9,10,-33,-93,-106,-168,-3,-2,-1,-3,-2,0,134,134,134,132,115,90,90
50,48,485,3,7,Wichita County,Texas,131664,131664,131340,129327,128685,128183,127321,450,1860,1905,1894,1934,269,1357,1311,1309,1297,161,148,238,204,172,-657,-2665,-1461,-1271,-1667,-9,1,-13,-20,-4,11120,11120,11120,11191,11084,11105,11105
50,48,487,3,7,Wilbarger County,Texas,14676,14676,14629,14419,14293,14184,14184,47,192,220,207,197,41,197,179,192,176,2,16,16,15,15,-52,-216,-179,-136,-39,-3,-5,-4,-3,3,921,921,921,928,873,904,904
