Lydia Skoblikova, URS, 2, 6, Karin Enke, GDR, 2, 3
Bonnie Blair, USA, 3, 5, Gunda Nieman, GDR, 2, 3
Claudia Pechstein, GER, 4, 5 Marianne Timmer, NED, 2, 3
