1896 273 1900 246 1904 245 1906 252 1908 243 1912 237 1920 242
1924 234 1928 233 1932 231 1936 228 1948 230 1952 225 1956 221
1960 216 1964 218 1968 215 1972 216 1976 219 1980 218 1984 213
1988 216 1992 220 1996 216 2000 212 2004 214 2008 213 2012 215
