North              150.2  20.8
Yorks & Humberside 157.3  20.3
East Midlands      169.8  20.3
East Anglia        188.2  18.1
South East         219.2  17.8
South West         189.5  19.0
West Midlands      166.4  20.4
North West         172.0  19.9
Wales              163.6  21.7
Scotland           161.8  20.5
Northern Ireland   178.5  21.4
